ID,Text
cGameSceneNPCScriptReference036A,Whoa!<BR>I didn’t know<BR>the Mikasa<BR>was so tall.
cGameSceneNPCScriptReference036B,Yup!<BR>The Mikasa is<BR>suuuuper big!
cGameSceneNPCScriptReference036D,"Hey, <NAME>,<BR>I think I see<BR>a chest over<BR>there!"
cGameSceneNPCScriptReference036E,Let’s go open<BR>it!
cGameSceneNPCScriptReference036F,"Sure, let’s<BR>go"
cGameSceneNPCScriptReference0371,Let’s not
cGameSceneNPCScriptReference0373,"It’d be bad<BR>if we well,<BR>so let’s not."
cGameSceneNPCScriptReference0374,Huhhh?!<BR>You’re no<BR>fun!
cGameSceneNPCScriptReference0375,"Sure, let’s<BR>go.<BR>… How are we<BR>gonna get it<BR>from here,<BR>though?"
cGameSceneNPCScriptReference0376,"Heheh, you<BR>can leave<BR>that to me!"
cGameSceneNPCScriptReference0377,Here we go!<BR>Make sure<BR>to hold on<BR>tight!
cGameSceneNPCScriptReference0378,"Surprised,<BR>huh?<BR>I just<BR>teleported us<BR>over here!"
cGameSceneNPCScriptReference037A,Yikes!<BR>I didn’t know<BR>the Mikasa<BR>was so tall!
cGameSceneNPCScriptReference037B,Yup!<BR>The Mikasa is<BR>suuuuper big!
cGameSceneNPCScriptReference037D,"Hey, <NAME>,<BR>I think I see<BR>a chest over<BR>there!"
cGameSceneNPCScriptReference037E,Let’s go open<BR>it!
cGameSceneNPCScriptReference037F,"Alright,<BR>let’s go"
cGameSceneNPCScriptReference0381,Let’s not
cGameSceneNPCScriptReference0383,"It’d be bad<BR>if we well,<BR>so let’s not."
cGameSceneNPCScriptReference0384,Huhhh?!<BR>You’re no<BR>fun!
cGameSceneNPCScriptReference0385,"Alright,<BR>let’s go!<BR>… So how are<BR>we gonna get<BR>it from here?"
cGameSceneNPCScriptReference0386,"Heheh, you<BR>can leave<BR>that to me!"
cGameSceneNPCScriptReference0387,Here we go!<BR>Make sure<BR>to hold on<BR>tight!
cGameSceneNPCScriptReference0388,"Surprised,<BR>huh?<BR>I just<BR>teleported us<BR>over here!"
cGameSceneNPCScriptReference038C,Hmm…<BR>We sure are<BR>high up.
cGameSceneNPCScriptReference038A,Whoa! We’re<BR>so high up!<BR>I had no idea<BR>the Mikasa<BR>was so tall.
cGameSceneNPCScriptReference038B,The Mikasa<BR>is over 1000<BR>meters tall.
cGameSceneNPCScriptReference038E,Whoa! We’re<BR>so high up!<BR>I had no idea<BR>the Mikasa<BR>was so tall.
cGameSceneNPCScriptReference038F,"The Mikasa<BR>is over 1000<BR>meters tall,<BR>you know!"
